2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asda
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > sd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60015      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60015      LSD1 > hi
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60015      LSD1 > helo
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60015      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60015      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60015      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60015      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60015      LSD1 > asd
